City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,atafu village,-8.5421,-172.5159,301.68,80,100,11.06,TK,1702337073
149,linhares,-19.3911,-40.0722,298.33,67,98,2.94,BR,1702337337
150,nagqu,31.5,92.0,258.17,46,90,0.59,CN,1702337133
151,luau,-10.7073,22.2247,291.72,96,88,1.22,AO,1702337338
152,canutama,-6.5339,-64.3831,297.58,98,98,1.28,BR,1702337338
153,duyun,26.2667,107.5167,280.75,89,100,2.22,CN,1702337339
154,boende,-0.2167,20.8667,295.44,96,100,0.21,CD,1702337339
155,karabar,-35.3753,149.2308,298.66,63,75,5.14,AU,1702337340
156,nemuro,43.3236,145.575,275.11,70,100,7.15,JP,1702337132
157,eirunepe,-6.6603,-69.8736,299.9,81,68,0.55,BR,1702337341
158,ust-nera,64.5667,143.2,253.65,98,100,3.37,RU,1702337074
159,san luis de la loma,17.2706,-100.8939,301.94,67,98,2.02,MX,1702337127
160,kismayo,-0.3582,42.5454,300.21,80,100,4.84,SO,1702337343
161,letterkenny,54.95,-7.7333,280.98,96,100,4.8,IE,1702337117
162,spirit lake,43.4222,-95.1022,277.01,64,65,0.45,US,1702337344
163,mercedes,-34.6515,-59.4307,299.28,40,75,6.13,AR,1702337242
164,happy valley-goose bay,53.3168,-60.3315,272.32,86,100,2.06,CA,1702337097
165,lata,40.1629,-8.3327,289.3,90,100,2.04,PT,1702337127
166,grand-lahou,5.1367,-5.0242,299.9,83,25,3.01,CI,1702337345
167,pacific grove,36.6177,-121.9166,291.06,70,0,4.02,US,1702337346
168,ledeberg,51.0386,3.7446,281.81,96,1,2.54,BE,1702337346
169,tura,25.5198,90.2201,287.65,89,0,1.44,IN,1702337073
170,san fernando,15.0286,120.6898,299.0,85,84,1.72,PH,1702337347
171,tallahassee,30.4383,-84.2807,283.01,72,0,1.92,US,1702337348
172,nabire,-3.3667,135.4833,299.73,87,99,1.13,ID,1702337348
173,arno,60.1167,18.6333,271.36,83,100,5.76,SE,1702337349
174,puerto armuelles,8.2833,-82.8667,303.14,72,100,0.45,PA,1702337324
175,klyuchi,52.2667,79.1667,248.88,87,31,6.4,RU,1702337086
176,polyarnyy,69.1989,33.4478,260.19,91,96,6.91,RU,1702337093
177,barnard castle,54.5415,-1.919,273.33,95,68,1.98,GB,1702337351
178,fumel,44.4986,0.9651,283.7,93,100,1.98,FR,1702337351
179,juneau,58.3019,-134.4197,277.15,93,100,10.8,US,1702337342
180,itaituba,-4.2761,-55.9836,296.73,99,100,0.94,BR,1702337352
181,jamestown,42.097,-79.2353,273.92,75,100,3.6,US,1702336988
182,mejit,10.2753,170.8646,300.22,71,30,8.45,MH,1702336876
183,melekeok village,7.4957,134.6367,302.46,79,75,3.09,PW,1702337354
184,codrington,-38.2667,141.9667,298.52,60,87,5.5,AU,1702337090
185,ceres,37.5949,-120.9577,289.85,43,0,2.57,US,1702337355
186,coquimbo,-29.9533,-71.3436,290.0,77,0,4.12,CL,1702337093
187,san pedro pochutla,15.7333,-96.4667,300.99,58,79,2.18,MX,1702337356
188,constantia,44.1833,28.65,274.65,81,38,3.8,RO,1702337131
189,boyolangu,-8.1181,111.8935,298.06,81,100,0.5,ID,1702337357
190,laramie,41.3114,-105.5911,275.36,61,100,5.14,US,1702337055
191,shache,38.4167,77.2406,274.66,45,100,3.02,CN,1702337140
192,haiku-pauwela,20.9219,-156.3051,303.16,55,20,7.72,US,1702337111
193,de aar,-30.6497,24.0123,291.04,58,2,1.31,ZA,1702337358
194,petropavlovsk-kamchatsky,53.0452,158.6483,264.48,87,40,7.6,RU,1702337058
195,flying fish cove,-10.4217,105.6791,297.97,83,64,3.09,CX,1702337091
196,weno,7.4515,151.8468,300.12,94,100,2.06,FM,1702337079
197,meeuwen,51.0979,5.5194,282.23,87,75,3.6,BE,1702337360
198,talnakh,69.4865,88.3972,246.7,98,100,4.67,RU,1702337075
199,priargunsk,50.3691,119.1012,230.13,100,69,0.78,RU,1702337134
200,inirida,3.8653,-67.9239,300.05,78,76,0.42,CO,1702337362
201,sadovoye,47.7764,44.5089,269.77,75,100,10.32,RU,1702337362
202,zhangye,38.9342,100.4517,275.73,16,1,4.0,CN,1702337363
203,yelan'-koleno,51.1523,41.2306,267.06,94,100,9.41,RU,1702337363
204,san patricio,28.017,-97.5169,292.07,44,100,4.43,US,1702337123
205,dickinson,29.4608,-95.0513,289.2,57,0,4.63,US,1702337087
206,shahrisabz,39.0578,66.8342,275.86,98,100,1.9,UZ,1702337365
207,lebu,-37.6167,-73.65,287.88,76,100,2.72,CL,1702337084
208,powell,40.1578,-83.0752,274.97,77,100,0.0,US,1702337366
209,taupo,-38.6833,176.0833,289.33,49,22,7.72,NZ,1702337366
210,badger,64.8,-147.5333,267.08,82,100,4.63,US,1702337091
211,college,64.8569,-147.8028,267.12,77,100,4.63,US,1702337065
212,sebastian,35.1668,-94.2669,284.46,47,7,0.32,US,1702337367
213,trabzon,40.9167,39.8333,283.2,88,75,2.06,TR,1702337368
214,chonchi,-42.6128,-73.8092,286.71,92,100,2.21,CL,1702337099
215,isangel,-19.55,169.2667,300.21,61,75,6.17,VU,1702337090
216,bhit shah,25.8044,68.4927,291.29,26,9,1.06,PK,1702337369
217,bei'an,24.5399,109.533,285.61,80,100,5.39,CN,1702337370
218,westport,41.1415,-73.3579,278.46,65,100,5.14,US,1702337121
219,roshchino,60.2519,29.6085,266.03,95,100,3.42,RU,1702337371
220,ko pha ngan,9.7578,100.0291,298.53,76,38,3.59,TH,1702337371
221,la passe,45.5549,-0.8967,287.28,88,100,5.34,FR,1702337060
222,bridlington,54.0831,-0.1919,278.09,79,39,2.23,GB,1702337372
223,nadym,65.5333,72.5167,245.25,88,100,5.09,RU,1702337373
224,korla,41.7597,86.1469,269.52,63,72,1.87,CN,1702337063
225,mossel bay,-34.1831,22.146,290.46,80,0,4.37,ZA,1702337374
226,porto-vecchio,41.591,9.2795,293.89,88,100,9.26,FR,1702337375
227,al abyar,32.19,20.5965,288.11,77,53,6.04,LY,1702337375
228,tuy hoa,13.0833,109.3,295.86,91,52,1.63,VN,1702337376
229,vorgashor,67.5833,63.95,254.92,89,100,6.25,RU,1702337094
230,geraldton,-28.7667,114.6,301.38,20,0,5.14,AU,1702337058
231,adrar,20.5022,-10.0711,290.98,18,0,5.04,MR,1702337377
232,punta del este,-34.9667,-54.95,295.35,85,75,5.66,UY,1702337377
233,uzhur,55.3036,89.8339,240.63,100,43,1.14,RU,1702337378
234,katsuura,35.1333,140.3,287.16,91,100,9.74,JP,1702337378
235,bodo,67.28,14.405,268.58,77,9,10.29,NO,1702337379
236,kertih,4.5141,103.4483,300.16,89,40,1.54,MY,1702337379
237,hamilton,39.1834,-84.5333,275.91,72,0,2.06,US,1702336841
238,qui nhon,13.7667,109.2333,295.65,88,24,2.35,VN,1702337380
239,palmer,42.1584,-72.3287,277.51,64,40,6.69,US,1702336816
240,g'uzor,38.6214,66.2522,269.17,64,100,2.86,UZ,1702337381
241,gisborne,-38.6533,178.0042,292.78,44,0,4.13,NZ,1702337115
242,djebeniana,35.035,10.9081,286.04,50,27,4.33,TN,1702337382
243,battenberg,51.0167,8.65,280.91,90,97,3.93,DE,1702337383
244,puerto madryn,-42.7692,-65.0385,290.43,58,34,6.86,AR,1702337384
245,chibougamau,49.9168,-74.3659,263.94,86,100,4.12,CA,1702337110
246,safotu,-13.4513,-172.4018,300.34,88,91,4.35,WS,1702337385
247,port alfred,-33.5906,26.891,290.47,96,4,2.5,ZA,1702337076
248,kailua-kona,19.6406,-155.9956,302.19,80,40,4.12,US,1702337021
249,jiangyou,31.7667,104.7167,284.52,74,99,1.1,CN,1702337386
250,macheng,31.1783,115.0319,275.11,86,39,2.84,CN,1702337387
251,broken hill,-31.95,141.4333,299.6,41,46,1.94,AU,1702337124
252,guerrero negro,27.9769,-114.0611,294.37,35,74,4.48,MX,1702337069
253,fale old settlement,-9.3852,-171.2468,301.94,77,100,9.77,TK,1702337100
254,mount pearl,47.5166,-52.7813,285.34,95,75,10.8,CA,1702337389
255,ust'-uda,54.1742,103.0304,237.3,100,18,0.79,RU,1702337390
256,la gi,10.6667,107.7833,296.05,84,98,3.52,VN,1702337390
257,turpan,42.9333,89.1667,272.8,64,100,0.92,CN,1702337391
258,east london,-33.0153,27.9116,292.51,85,55,1.39,ZA,1702337076
259,abbeville,50.1,1.8333,283.13,95,63,3.21,FR,1702337367
260,nizhnyaya tavda,57.6731,66.1725,241.27,99,8,1.48,RU,1702337392
261,hajo,26.25,91.5333,289.17,94,20,0.0,IN,1702337393
262,al burayqah,30.4062,19.5739,292.73,63,58,9.98,LY,1702337393
263,berlin,52.5244,13.4105,281.16,90,75,7.72,DE,1702336806
264,cajabamba,-7.6167,-78.05,292.15,61,85,1.85,PE,1702337394
265,susanville,40.4163,-120.653,281.38,52,0,2.57,US,1702337394
266,ancud,-41.8697,-73.8203,284.95,82,100,5.31,CL,1702337089
267,port hueneme,34.1478,-119.1951,299.51,42,40,3.09,US,1702337277
268,queenstown,-31.8976,26.8753,288.11,81,40,0.72,ZA,1702337119
269,dudinka,69.4058,86.1778,248.53,98,100,6.26,RU,1702337101
270,zalingei,12.9096,23.4741,293.02,19,27,3.21,SD,1702337397
271,odoyev,53.9393,36.6864,268.61,94,100,5.76,RU,1702337398
272,nova sintra,14.8667,-24.7167,296.26,68,24,7.18,CV,1702337099
273,praia da vitoria,38.7333,-27.0667,287.29,82,20,5.64,PT,1702337140
274,al jawf,29.5,38.75,289.64,84,100,2.01,SA,1702337399
275,tarnogskiy gorodok,60.4997,43.5761,262.29,89,100,5.45,RU,1702337399
276,flin flon,54.7682,-101.865,264.06,62,75,8.23,CA,1702337400
277,bel ombre,-4.6167,55.4167,299.06,89,40,1.03,SC,1702337400
278,robore,-18.3333,-59.75,298.49,83,94,1.71,BO,1702337401
279,puerto santa,-8.9906,-78.6456,293.08,85,11,4.57,PE,1702337402
280,port lincoln,-34.7333,135.8667,292.64,57,72,5.91,AU,1702337086
281,namie,37.4833,141.0,284.1,94,100,4.16,JP,1702337411
282,joinville,-26.3044,-48.8456,293.76,94,20,1.03,BR,1702337412
283,arraial do cabo,-22.9661,-42.0278,296.13,94,75,1.54,BR,1702337106
284,monrovia,6.3005,-10.7969,299.02,80,37,1.5,LR,1702337413
285,jipijapa,-1.3333,-80.5833,298.87,84,79,2.76,EC,1702337413
286,santa ana de yacuma,-13.75,-65.4333,300.12,89,75,0.0,BO,1702337414
287,mitsamiouli,-11.3847,43.2844,300.55,73,92,4.86,KM,1702337415
288,mungwi,-10.1732,31.3694,291.13,94,100,0.76,ZM,1702337415
